CO2e_emissions_per_capita.2019,HDI.2017,HDI.2021,_id,access_to_electricity.2020,control_of_corruption.2017,control_of_corruption.2021,economic_growth.2018,economic_growth.2021,education_gdp.2018,education_gdp.2021,electricity_from_renewables.2015,electricity_from_renewables.2020,gii.2022,gini,government_effectiveness.2017,government_effectiveness.2021,government_gdp.2018,government_integrity.2018,government_integrity.2022,happy_planet_index.2016,happy_planet_index.2019,health_expenditure_per_person.2019,health_gdp.2017,health_gdp.2018,health_gdp.2019,infant_mortality.2020,iso_3,military_gdp.2021,name,political_instability.2017,political_instability.2021,population.2018,primary_school_aged_kids_out.2018,primary_school_aged_kids_out.2021,region,regulatory_quality.2017,regulatory_quality.2021,rule_of_law.2017,rule_of_law.2021,seda.2018,unemployment.2018,unemployment.2021
0.16,0.463,0.498,640e0b1661fc7dcab609c5cd,51.1,-0.56,-0.4,6.82,5.64,5.07,5.07,100.0,100.0,16.3,33,-0.7,-0.6,17.7,37.7,33.2,26.7,41.7,26.7,5.65,5.07,undefined,3.2,ETH,0.53,Ethiopia,-1.69,-2.07,105000000,undefined,12.79,Sub-Saharan Africa,-1,-0.9,-0.45,-0.606,32.3,5.7,3.69
1.83,0.741,0.73,640e0b1661fc7dcab609c5ce,100,0.36,0.47,3.81,-4.08,4.84,5.07,46.2,57.9,undefined,,0.1,0.6,32.6,34.8,54.3,undefined,undefined,235.7,4.65,4.84,5.07,3.4,FJI,1.65,Fiji,0.79,0.67,900000,undefined,1.18,Melanesia,-0.2,0,-0.25,0.311,49,7.9,5.24
7.37,0.92,0.94,640e0b1661fc7dcab609c5cf,100,2.22,2.27,1.14,3.47,6.28,undefined,46.3,53.2,56.9,27.2,1.9,2,57.1,89.8,96.4,31.3,51.3,4450.3,6.36,6.28,undefined,23,FIN,2.03,Finland,1.07,0.98,6000000,1.33,undefined,Northern Europe,1.8,1.9,2.03,2.058,81.3,9,7.53
4.47,0.901,0.903,640e0b1661fc7dcab609c5d0,100,1.26,1.31,1.87,6.96,5.41,undefined,16.8,23.7,55,29.3,1.4,1.3,57,65.1,75.9,30.4,51.8,4491.7,5.45,5.41,undefined,undefined,FRA,1.95,France,0.21,0.37,67000000,0.01,undefined,Western Europe,1.2,1.2,1.44,1.289,73.9,10,8.06
0.25,0.46,0.5,640e0b1661fc7dcab609c5d1,62.3,undefined,-0.36,7.23,5.63,2.37,2.76,undefined,1.0,undefined,50.2,undefined,-0.6,29.4,36.8,38.1,undefined,undefined,29.7,2.46,2.37,2.79,51.4,GMB,0.75,"Gambia, The",undefined,0.18,2100000,18.19,13.63,Sub-Saharan Africa,undefined,-0.9,undefined,-0.386,undefined,29.7,11.21
2.72,0.78,0.802,640e0b1661fc7dcab609c5d2,100,0.74,0.69,4.84,10.36,3.52,3.85,78.9,75.9,27.9,40.1,0.6,0.7,29.8,61.8,64.4,31.1,44.3,291.1,3.57,3.52,3.81,33,GEO,1.67,Georgia,-0.37,-0.42,3700000,0.79,0.62,Western Asia,1.1,1.1,0.33,0.171,55.4,11.6,10.66
7.91,0.936,0.942,640e0b1661fc7dcab609c5d3,100,1.84,1.81,1.09,2.89,4.98,undefined,31.8,48.6,57.2,27,1.7,1.3,44.2,75.3,89.4,29.8,52.7,5440.3,4.87,4.98,undefined,47.2,DEU,1.34,Germany,0.58,0.76,83000000,0.69,undefined,Western Europe,1.8,1.6,1.61,1.609,79.6,4.3,3.54
0.66,0.592,0.632,640e0b1661fc7dcab609c5d4,85.9,-0.23,-0.11,6.2,5.36,3.89,undefined,52.2,38.5,20.8,42.3,-0.1,-0.1,26.5,32.9,45.4,21.4,39.5,75.3,3.53,3.89,undefined,undefined,GHA,0.49,Ghana,0.09,0.07,29000000,3.62,5.98,Sub-Saharan Africa,-0.1,-0.2,0.13,-0.081,40.2,5.8,4.7
5.6,0.87,0.887,640e0b1661fc7dcab609c5d5,100,-0.14,0.21,1.67,8.34,3.6,undefined,29.7,43.6,34.5,36.7,0.3,0.4,51.3,37.9,52.3,23.6,48.8,1500.6,3.48,3.6,undefined,14.5,GRC,3.87,Greece,-0.13,0.15,11000000,1.43,0.89,Southern Europe,0.2,0.4,0.08,0.35,64.1,23.9,14.8
1.16,0.65,0.627,640e0b1661fc7dcab609c5d6,97.1,-0.74,-1.17,3.32,7.53,3.14,3.3,61.7,75.4,17.8,53,-0.6,-0.8,12.5,27.3,26.5,34.2,57.9,271,2.95,3.14,3.2,undefined,GTM,0.44,Guatemala,-0.57,-0.39,17000000,10.63,10.55,Latin America and the Caribbean,-0.3,-0.3,-1.06,-1.093,42.5,2.4,3.57
0.31,0.459,0.465,640e0b1661fc7dcab609c5d7,44.7,-1.01,-1,6.36,3.12,2.38,2.2,50.0,63.6,11.6,39.4,-1,-0.9,25.4,26.9,25.6,undefined,38.1,43,2.32,2.38,1.85,34.7,GIN,1.48,Guinea,-0.61,-0.97,13000000,undefined,14.46,Sub-Saharan Africa,-0.8,-1,-1.23,-1.131,28.3,6.8,6.34
0.17,0.455,0.483,640e0b1661fc7dcab609c5d8,33.3,-1.56,-1.3,1.28,3.8,2.14,2.71,undefined,2.4,undefined,,-1.8,-1.4,21.9,27.3,15.9,undefined,undefined,62.6,2.2,2.14,2.95,58.3,GNB,1.78,Guinea-Bissau,-0.6,-0.28,1700000,undefined,undefined,Sub-Saharan Africa,-1.2,-1.3,-1.44,-1.438,undefined,6.5,6.76
3.64,0.654,0.714,640e0b1661fc7dcab609c5d9,92.5,-0.51,-0.17,4.44,19.93,4.45,undefined,undefined,2.4,undefined,44.6,-0.3,-0.2,31.2,34.8,41.5,undefined,undefined,325.9,4.66,4.45,undefined,4.1,GUY,0.96,Guyana,-0.04,-0.14,800000,undefined,undefined,Latin America and the Caribbean,-0.4,-0.5,-0.29,-0.398,42.8,11.4,16.42
0.29,0.498,0.535,640e0b1661fc7dcab609c5da,46.9,-1.24,-1.42,1.67,-1.8,1.63,undefined,8.4,13.6,undefined,60.8,-2.1,-2.2,21.9,24.6,14.3,28.6,38.2,57,1.5,1.63,undefined,3.4,HTI,0.19,Haiti,-0.7,-1.1,11000000,undefined,undefined,Latin America and the Caribbean,-1.3,-1.3,-1.09,-1.251,24.2,13.2,15.73
1.05,0.617,0.621,640e0b1661fc7dcab609c5db,93.2,-0.72,-1.07,3.84,12.53,6.06,6.44,43.6,57.5,17.3,47.1,-0.5,-0.8,27.9,28.2,25.4,27.2,57.7,187.6,4.94,6.06,4.91,45.6,HND,1.61,Honduras,-0.55,-0.61,9000000,15.7,undefined,Latin America and the Caribbean,-0.4,-0.5,-1.05,-1.072,41.9,6.3,8.51
4.75,0.838,0.846,640e0b1661fc7dcab609c5dc,100,0.09,0.04,5.36,7.1,4.62,undefined,11.6,17.9,39.8,28.2,0.5,0.6,48.5,36.4,44.4,26.4,45.4,1062.4,4.61,4.62,undefined,17.3,HUN,1.64,Hungary,0.81,0.86,10000000,2.43,2.47,Eastern Europe,0.7,0.5,0.53,0.531,66.1,5.2,4.12
4.55,0.935,0.959,640e0b1661fc7dcab609c5dd,100,1.84,1.79,4.89,3.7,7.56,undefined,100.0,100.0,49.5,28,1.5,1.6,43.1,77.3,85.3,31.1,48,6275,7.58,7.56,undefined,2.9,ISL,...,Iceland,1.37,1.37,300000,4.44,5.47,Northern Europe,1.4,1.5,1.61,1.755,83.7,3.8,5.4
1.8,0.64,0.633,640e0b1661fc7dcab609c5de,99,-0.24,-0.29,6.45,8.95,4.36,4.47,15.1,21.7,36.6,35.2,0.1,0.3,27.3,47.2,42.4,29.2,36.4,63.7,4.31,4.36,4.41,undefined,IND,2.66,India,-0.83,-0.62,1339000000,undefined,5.37,Southern Asia,-0.3,-0.1,0,-0.081,40,3.5,5.98
2.29,0.694,0.705,640e0b1661fc7dcab609c5df,96.9,-0.25,-0.43,5.17,3.69,3,2.84,11.2,17.7,27.9,36.8,0,0.4,17.6,42.8,39.9,35.7,49.6,120.1,2.67,3,2.84,42.6,IDN,0.70,Indonesia,-0.51,-0.51,264000000,5.62,undefined,South-eastern Asia,-0.1,0.3,-0.35,-0.225,46.4,5.6,4.41
7.6,0.798,0.774,640e0b1661fc7dcab609c5e0,100,-0.81,-1.1,-2.25,1.76,3.96,3.59,5.4,9.4,32.9,44.5,-0.2,-0.9,17.2,32.6,19.8,24,43.6,470.4,3.79,3.96,3.66,21.3,IRN,2.30,Iran,-0.93,-1.62,81000000,undefined,0.14,Southern Asia,-1.2,-1.6,-0.68,-0.947,48,11.3,11.46
4.44,0.685,0.686,640e0b1661fc7dcab609c5e1,100,-1.37,-1.25,2.63,2.78,undefined,undefined,3.9,2.8,11.9,,-1.3,-1.3,42.7,23.4,undefined,26.5,45.3,253.3,undefined,undefined,undefined,1.5,IRQ,2.28,Iraq,-2.33,-2.4,38000000,undefined,undefined,Western Asia,-1.2,-1.1,-1.64,-1.732,37,16,14.19
7.25,0.938,0.945,640e0b1661fc7dcab609c5e2,100,1.55,1.65,9.03,13.48,3.39,undefined,29.7,42.4,48.5,31.3,1.3,1.5,31.9,79,80.7,30,51.1,5428.6,3.51,3.39,undefined,11.1,IRL,0.26,Ireland,1.02,0.86,4700000,0,0.14,Northern Europe,1.6,1.6,1.43,1.53,80.3,8.1,6.63
6.92,0.903,0.919,640e0b1661fc7dcab609c5e3,100,0.83,0.86,3.98,8.19,6.11,undefined,2.0,6.3,50.2,42.8,1.4,1.3,40.1,61.2,65.2,28.8,48.2,3456.4,6.06,6.11,undefined,2.5,ISR,5.17,Israel,-0.88,-1.06,9000000,0.31,0.5,Western Asia,1.3,1.2,1.02,0.942,66.5,5.6,5.05
5.31,0.88,0.895,640e0b1661fc7dcab609c5e4,100,0.19,0.54,0.93,6.64,4.26,undefined,40.9,44.2,46.1,31.9,0.5,0.4,50.3,40.1,57.3,28.1,50.7,2905.5,4.04,4.26,undefined,11.4,ITA,1.52,Italy,0.24,0.58,61000000,3.15,3.5,Southern Europe,0.7,0.5,0.32,0.269,69.1,11.5,9.83
2.85,0.732,0.709,640e0b1661fc7dcab609c5e5,100,-0.17,-0.03,1.89,4.6,5.41,6.03,10.8,11.9,27.7,35,0.5,0.4,27.6,39.4,49,36.9,57.9,327.4,5.26,5.41,5.16,12.9,JAM,1.41,Jamaica,0.25,0.22,2800000,26.46,33.3,Latin America and the Caribbean,0.1,0.2,-0.16,-0.168,49.7,13.3,9.18
8.54,0.909,0.925,640e0b1661fc7dcab609c5e6,100,1.52,1.57,0.58,1.62,3.08,undefined,17.4,25.8,53.6,37.9,1.6,1.4,39.1,79.2,81.4,28.3,47.1,4360.5,3.13,3.08,undefined,8.9,JPN,1.07,Japan,1.12,1.03,127000000,undefined,undefined,Eastern Asia,1.4,1.4,1.57,1.579,75.2,3.1,2.8
2.44,0.735,0.72,640e0b1661fc7dcab609c5e7,99.9,0.26,0.05,1.93,2.21,2.98,undefined,1.0,15.5,27.4,39.7,0.1,0.2,32,51.9,49.5,undefined,43.9,334,3.23,2.98,2.99,1.8,JOR,5.02,Jordan,-0.53,-0.28,10000000,19.02,20.08,Western Asia,0.1,0.2,0.26,0.213,48.7,13.2,19.25
11.46,0.8,0.811,640e0b1661fc7dcab609c5e8,100,-0.82,-0.24,4.1,4,2.62,undefined,9.3,11.1,24.7,26.3,0,0.1,22.2,44.6,37.9,19.1,38.6,273,2.75,2.62,2.86,31.2,KAZ,0.87,Kazakhstan,0.02,-0.25,18000000,0.99,9.61,Central Asia,0.2,0.1,-0.41,-0.487,57.7,5.2,4.9
0.42,0.59,0.575,640e0b1661fc7dcab609c5e9,71.4,-0.96,-0.71,5.65,7.52,5.11,4.8,88.2,88.5,22.8,48.5,-0.3,-0.3,27.4,27.5,30.9,24.2,45.2,83.4,4.96,5.11,4.97,15.7,KEN,1.12,Kenya,-1.08,-1.09,50000000,undefined,undefined,Sub-Saharan Africa,-0.2,-0.4,-0.41,-0.39,35.4,11,5.74
2.18,undefined,undefined,640e0b1661fc7dcab609c5ea,52.3,-1.48,-1.61,undefined,undefined,undefined,undefined,2.1,7.6,undefined,,-1.7,-1.6,undefined,25.2,3.8,undefined,undefined,undefined,10.86,11.97,12.39,2.7,PRK,...,Korea (Dem. Peopleâ€™s Rep.),-0.48,-0.45,25000000,undefined,undefined,Eastern Asia,-2.3,-2.3,-1.71,-1.626,undefined,4.3,2.59
11.8,0.903,0.925,640e0b1661fc7dcab609c5eb,100,0.48,0.76,2.91,4.02,4.46,undefined,73.8,85.0,57.8,35.7,1.1,1.4,32.3,49.9,69.2,24.8,39.8,2624.5,undefined,undefined,undefined,7.6,KOR,2.78,Korea (Rep.),0.29,0.66,51000000,0.92,0.01,Eastern Asia,1.1,1.1,1.16,1.127,undefined,3.7,3.53
22.02,0.803,0.831,640e0b1661fc7dcab609c5ec,100,-0.33,-0.03,2.43,undefined,6.39,6.55,undefined,0.1,29.2,,-0.2,0,51.5,36.6,43.8,undefined,33.3,1758.7,6.37,6.39,6.49,13.7,KWT,6.69,Kuwait,-0.04,0.3,4200000,undefined,undefined,Western Asia,-0.1,0.2,0.1,0.261,65.7,2.4,3.71
1.56,0.672,0.692,640e0b1661fc7dcab609c5ed,100,-1.05,-1.12,3.76,3.61,5.55,5.37,85.8,92.4,21.1,33.4,-0.7,-0.7,37.3,29.4,28.8,33.1,53.7,62.1,6.03,5.55,5.37,22,KGZ,1.67,Kyrgyzstan,-0.43,-0.43,6000000,0.29,0.12,Central Asia,-0.4,-0.6,-0.93,-1.074,45.4,7.7,9.1
2.61,0.601,0.607,640e0b1661fc7dcab609c5ee,100,-0.94,-1.04,6.25,2.53,2.37,2.23,96.5,64.4,17.4,36.7,-0.4,-0.6,26.3,33.1,20.4,undefined,42.8,68.2,2.52,2.37,2.3,6,LAO,...,Laos,0.43,0.73,7000000,8.51,8.24,South-eastern Asia,-0.7,-0.9,-0.88,-0.642,37.8,1.5,1.26
3.96,0.847,0.863,640e0b1661fc7dcab609c5ef,100,0.54,0.75,3.99,4.48,4.24,undefined,51.5,66.6,36.5,34.5,0.9,0.9,37,45.4,61.1,17.1,34.1,1166.8,4.37,4.24,undefined,undefined,LVA,2.28,Latvia,0.46,0.69,2000000,1.13,1.18,Northern Europe,1.2,1.2,0.93,0.981,66.1,9.9,7.6
4.08,0.757,0.706,640e0b1661fc7dcab609c5f0,100,-1,-1.23,-1.88,-10.52,2.52,undefined,2.8,3.9,undefined,,-0.5,-1.3,26.9,20.2,22.8,21.9,39,663.1,2.13,2.52,2.59,58.1,LBN,...,Lebanon,-1.59,-1.49,4600000,undefined,undefined,Western Asia,-0.3,-0.9,-0.82,-1.074,44.8,6.8,14.49
0.36,0.52,0.514,640e0b1661fc7dcab609c5f1,47.4,-0.03,-0.32,-1.22,1.02,7.29,8.7,100.0,100.0,undefined,63.2,-0.9,-0.9,50.4,32.9,42.8,16.7,27.3,124.2,8.16,7.29,7.99,7.7,LSO,1.29,Lesotho,-0.25,-0.22,1900000,6.82,undefined,Sub-Saharan Africa,-0.3,-0.7,-0.27,-0.41,29.5,27.4,24.6
0.24,0.435,0.481,640e0b1661fc7dcab609c5f2,27.5,-0.69,-0.92,1.16,4,2.5,2.69,undefined,1.3,undefined,32,-1.4,-1.4,36.8,32,25.1,22.2,46,52.6,2.66,2.5,2.27,9.5,LBR,0.95,Liberia,-0.41,-0.24,4400000,undefined,undefined,Sub-Saharan Africa,-1,-1,-0.97,-0.926,30.6,4,4.09
8.38,0.706,0.718,640e0b1661fc7dcab609c5f3,69.7,-1.59,-1.57,7.94,31.37,undefined,undefined,undefined,0.0,undefined,,-1.8,-1.7,92.9,23.1,undefined,undefined,42.7,undefined,undefined,undefined,undefined,22,LBY,...,Libya,-2.33,-2.37,6000000,undefined,undefined,Northern Africa,-2.2,-2,-1.78,-1.784,undefined,19.2,19.58
4.2,0.858,0.875,640e0b1661fc7dcab609c5f4,100,2.06,0.85,3.99,5,3.89,undefined,48.1,71.3,37.4,37.9,1,1.1,34.7,50.9,66.6,21,36.9,1370,3.81,3.89,undefined,2.3,LTU,2.02,Lithuania,0.78,0.82,2900000,0.18,0.1,Northern Europe,1.2,1.3,0.99,1.11,67.4,9.2,7.9
15.31,0.904,0.93,640e0b1661fc7dcab609c5f5,100,1.99,1.87,2,6.89,3.65,undefined,undefined,undefined,49.8,30.4,1.7,1.7,41.4,79,89.5,13.2,31.7,6220.7,3.49,3.65,undefined,3.4,LUX,0.63,Luxembourg,1.34,1.21,600000,1,0.62,Western Europe,1.7,1.9,1.74,1.787,83.2,5.9,5.23
4,undefined,undefined,640e0b1661fc7dcab609c5f6,100,-0.31,-0.35,2.88,3.96,undefined,undefined,32.7,28.6,28.8,33.7,0.1,-0.1,31.5,47.4,38.7,23.4,43.9,436.9,2.71,2.73,3.06,undefined,MKD,1.54,Macedonia,-0.25,0.12,2100000,3,3.53,Southern Europe,0.5,0.4,-0.24,-0.076,52.5,26.7,16.2
0.15,0.519,0.501,640e0b1661fc7dcab609c5f7,33.7,-1.05,-0.93,3.2,4.4,2.84,3.1,59.7,41.3,18.6,41,-1.1,-1,15.4,17.8,23,undefined,44.2,19.8,2.7,2.84,2.99,5.5,MDG,0.77,Madagascar,-0.33,-0.64,26000000,1.96,2.32,Sub-Saharan Africa,-0.7,-0.8,-0.86,-0.867,31.1,2.1,2.59
0.08,0.477,0.512,640e0b1661fc7dcab609c5f8,14.9,-0.65,-0.3,4.39,2.75,3.32,3.71,99.1,88.8,undefined,46.1,-0.7,-0.8,31.3,28.9,29.4,22.1,38.7,30.4,4.03,3.32,3.71,7.4,MWI,0.95,Malawi,-0.27,-0.11,19000000,undefined,undefined,Sub-Saharan Africa,-0.8,-0.8,-0.37,-0.238,32.5,6.7,7.02
7.93,0.802,0.803,640e0b1661fc7dcab609c5f9,100,0.03,0.17,4.84,3.13,4.48,3.92,10.4,17.9,38.7,46.2,0.8,1,24.9,54.8,53.9,30.3,41.7,436.6,4.68,4.48,4.16,5.3,MYS,1.06,Malaysia,0.16,0.14,32000000,0.26,1.6,South-eastern Asia,0.7,0.7,0.41,0.558,59.8,3.3,4.61
3.97,0.717,0.747,640e0b1661fc7dcab609c5fa,100,-0.79,-0.37,8.12,30.96,3.91,4.12,undefined,0.4,undefined,38.4,-0.5,0.4,42.6,36.6,43.1,undefined,undefined,854.4,3.89,3.91,4.12,17.8,MDV,undefined,Maldives,0.26,0.5,400000,3.42,2,Southern Asia,-0.4,-0.5,-0.62,-0.172,undefined,3.2,6.08
0.3,0.427,0.428,640e0b1661fc7dcab609c5fb,50.6,-0.63,-0.87,4.75,3.07,3.91,3.76,54.0,31.5,14.2,40.1,-0.9,-1.2,22.2,31.4,28.3,undefined,39.3,34.3,3.79,3.91,3.48,5.6,MLI,2.82,Mali,-1.91,-2.35,19000000,40.99,undefined,Sub-Saharan Africa,-0.6,-0.6,-0.78,-0.902,29.7,8.1,7.72
3.29,0.878,0.918,640e0b1661fc7dcab609c5fc,100,0.74,0.32,6.03,9.41,undefined,undefined,7.9,11.5,49.1,28.1,1,0.9,40.4,49.9,55.8,29,43.5,2531.9,4.65,undefined,undefined,35,MLT,0.51,Malta,1.27,0.97,400000,undefined,undefined,Southern Europe,1.3,0.8,1.14,0.864,68.8,5.3,3.5
0.87,0.52,0.556,640e0b1661fc7dcab609c5fd,47.3,-0.75,-0.82,4.53,2.3,15.2,15.75,undefined,undefined,12.4,37,-0.7,-0.7,30.1,28.9,23.5,18,34.7,57.9,undefined,undefined,1.82,14.8,MRT,2.38,Mauritania,-0.62,-0.67,3800000,19.69,23.14,Sub-Saharan Africa,-0.8,-1.1,-0.6,-0.671,28.9,11.7,11.46
3.29,0.79,0.802,640e0b1661fc7dcab609c5fe,99.7,0.2,0.47,3.76,4.04,undefined,1.88,23.8,24.6,34.4,35.9,0.9,0.8,25.4,52.1,56.5,27.4,51.5,685.9,5.02,4.83,4.72,29,MUS,0.17,Mauritius,0.99,0.86,1300000,1.3,0.33,Sub-Saharan Africa,1,1.2,0.68,0.873,60.2,7.8,7.41
3.52,0.774,0.758,640e0b1661fc7dcab609c5ff,99.4,-0.93,-1,2.19,4.8,4.25,undefined,16.0,21.9,31,48.2,0,-0.3,27,26.9,32,40.7,54.3,540.4,4.52,4.25,undefined,25.5,MEX,0.68,Mexico,-0.65,-0.64,129000000,0.7,0.79,Latin America and the Caribbean,0.2,-0.2,-0.57,-0.8,49.1,4,4.38
3.32,0.7,0.767,640e0b1661fc7dcab609c600,100,-0.8,-0.45,4.3,13.94,5.44,6.39,5.6,4.9,31.1,26.8,-0.5,-0.4,38,26.6,34.7,undefined,51,284.3,5.62,5.44,6.1,36.3,MDA,0.41,Moldova,-0.24,-0.21,3600000,0.65,0.79,Eastern Europe,0,0,-0.41,-0.332,48.7,5,3.96
undefined,0.741,0.739,640e0b1661fc7dcab609c601,98.1,-0.45,-0.53,7.74,1.42,6.17,4.94,3.3,9.9,28,34,-0.3,-0.5,37.8,34.8,37,14.3,24.5,163.4,4.07,6.17,4.94,undefined,MNG,0.66,Mongolia,0.82,0.65,3000000,undefined,undefined,Eastern Asia,-0.1,-0.2,-0.3,-0.225,50.6,6.7,7.08
7.15,0.814,0.832,640e0b1661fc7dcab609c602,100,-0.09,-0.02,5.08,12.43,undefined,undefined,50.9,59.5,30.3,31.9,0.2,0,46.3,38.1,46.4,25.1,41.3,735.2,undefined,undefined,undefined,13.2,MNE,1.74,Montenegro,0.01,-0.15,600000,0.72,0.62,Southern Europe,0.3,0.4,0.01,-0.059,undefined,17.5,18.49
1.96,0.667,0.683,640e0b1661fc7dcab609c603,100,-0.13,-0.43,3.15,7.37,5.35,6.75,15.7,18.2,28.8,40.9,-0.2,-0.1,31.4,41.3,41,32.7,50.9,174.2,5.12,5.35,5.93,2.5,MAR,4.18,Morocco,-0.41,-0.4,36000000,0.21,0.45,Northern Africa,-0.2,-0.1,-0.17,-0.253,45.8,10,11.47
0.25,0.437,0.446,640e0b1661fc7dcab609c604,30.6,-0.86,-0.81,3.44,2.22,5.45,6.26,87.0,79.5,15,45.6,-0.9,-0.8,36.2,28.2,26.3,23.7,44.2,39.5,5.51,5.45,6.08,49,MOZ,1.51,Mozambique,-0.98,-1.23,30000000,6.07,0.87,Sub-Saharan Africa,-0.7,-0.8,-1.01,-1.035,26.7,24.4,3.98
0.68,0.578,0.585,640e0b1661fc7dcab609c605,70.4,-0.56,-1.03,6.4,-17.98,2.16,2.14,60.1,48.3,16.4,,-1.1,-1.4,22.6,28.2,29.8,24.7,40,60,2.33,2.16,2.14,19.1,MMR,3.33,Myanmar,-1.08,-2.07,53000000,1.95,undefined,South-eastern Asia,-0.8,-1.1,-0.95,-1.456,37,0.8,2.17
1.69,0.647,0.615,640e0b1661fc7dcab609c606,56.3,0.32,0.26,1.06,2.43,8.88,9.64,97.9,96.0,20.6,59.7,0.2,0.1,40.7,45.4,53.9,21.6,36.8,427.3,9.71,8.88,8.93,undefined,NAM,3.00,Namibia,0.65,0.55,2300000,1.52,1.61,Sub-Saharan Africa,-0.2,0,0.24,0.362,39.1,25.6,21.68
